 area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,total_sqft_numeric,price_per_sqft,sqft_per_bhk
Super built-up  Area,20-Dec,Electronic City,4 BHK,2435,4.0,3.0,119.0,4.0,2435.0,4887.063655030801,608.75
Super built-up  Area,Ready To Move,Electronic City,2 BHK,660,1.0,1.0,15.5,2.0,660.0,2348.4848484848485,330.0
Built-up  Area,18-Dec,Electronic City,2 BHK,1125,2.0,1.0,32.5,2.0,1125.0,2888.8888888888887,562.5
Built-up  Area,18-Dec,Electronic City,2 BHK,1165,2.0,1.0,33.64,2.0,1165.0,2887.5536480686696,582.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,919,2.0,2.0,34.0,2.0,919.0,3699.6735582154515,459.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1073,2.0,2.0,60.0,2.0,1073.0,5591.798695246971,536.5
Super built-up  Area,18-Apr,Electronic City,3 BHK,1500,2.0,1.0,78.0,3.0,1500.0,5200.0,500.0
Super built-up  Area,17-Jun,Electronic City,2 BHK,1070,2.0,1.0,47.0,2.0,1070.0,4392.523364485981,535.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1296,2.0,2.0,65.0,2.0,1296.0,5015.432098765432,648.0
Super built-up  Area,21-Dec,Electronic City,2 BHK,1140,2.0,1.0,70.93,2.0,1140.0,6221.9298245614045,570.0
Built-up  Area,18-Dec,Electronic City,2 BHK,1200,2.0,1.0,34.65,2.0,1200.0,2887.5,600.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1096,2.0,2.0,40.55,2.0,1096.0,3699.8175182481746,548.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1017,2.0,2.0,27.0,2.0,1017.0,2654.8672566371683,508.5
Built-up  Area,18-Dec,Electronic City,2 BHK,1130,2.0,1.0,32.63,2.0,1130.0,2887.610619469027,565.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1110,2.0,1.0,39.95,2.0,1110.0,3599.0990990990995,555.0
Super built-up  Area,20-Dec,Electronic City,4 BHK,2093,4.0,1.0,104.0,4.0,2093.0,4968.944099378882,523.25
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1025,2.0,1.0,53.9,2.0,1025.0,5258.536585365854,512.5
Built-up  Area,Ready To Move,Electronic City,2 BHK,940,2.0,1.0,54.0,2.0,940.0,5744.68085106383,470.0
Super built-up  Area,Ready To Move,Electronic City,1 BHK,435,1.0,1.0,21.0,1.0,435.0,4827.586206896552,435.0
Super built-up  Area,18-Mar,Electronic City,3 BHK,1500,2.0,1.0,77.5,3.0,1500.0,5166.666666666667,500.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1631,3.0,2.0,80.0,3.0,1631.0,4904.9662783568365,543.6666666666666
Super built-up  Area,18-Apr,Electronic City,2 BHK,1355,2.0,1.0,67.0,2.0,1355.0,4944.649446494465,677.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1200,2.0,0.0,34.0,2.0,1200.0,2833.3333333333335,600.0
Super built-up  Area,18-Mar,Electronic City,2 BHK,1175,2.0,1.0,47.0,2.0,1175.0,4000.0,587.5
Super built-up  Area,Ready To Move,Electronic City,1 BHK,435,1.0,1.0,22.0,1.0,435.0,5057.471264367816,435.0
Built-up  Area,Ready To Move,Electronic City,3 BHK,1500,2.0,1.0,63.0,3.0,1500.0,4200.0,500.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1039,2.0,1.0,50.0,2.0,1039.0,4812.319538017325,519.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,770,1.0,1.0,39.9,2.0,770.0,5181.818181818182,385.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,919,2.0,2.0,35.0,2.0,919.0,3808.487486398259,459.5
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128,2.0,1.0,64.0,2.0,1128.0,5673.758865248227,564.0
Super built-up  Area,18-Mar,Electronic City,1 BHK,605,1.0,0.0,13.31,1.0,605.0,2200.0,605.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1159,2.0,3.0,38.0,3.0,1159.0,3278.688524590164,386.3333333333333
Super built-up  Area,19-Dec,Electronic City,1 BHK,530,1.0,1.0,13.5,1.0,530.0,2547.169811320755,530.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2.0,1.0,53.0,2.0,1070.0,4953.271028037383,535.0
Super built-up  Area,18-Jul,Electronic City,2 BHK,1025,1.0,1.0,26.63,2.0,1025.0,2598.048780487805,512.5
Built-up  Area,Ready To Move,Electronic City,3 BHK,2400,2.0,2.0,78.0,3.0,2400.0,3250.0,800.0
Super built-up  Area,17-Oct,Electronic City,3 BHK,1571,3.0,2.0,83.0,3.0,1571.0,5283.259070655633,523.6666666666666
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1470,2.0,1.0,44.1,3.0,1470.0,3000.0,490.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1350,3.0,2.0,66.0,3.0,1350.0,4888.888888888889,450.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1652,3.0,3.0,110.0,3.0,1652.0,6658.595641646489,550.6666666666666
Built-up  Area,18-Dec,Electronic City,3 BHK,1320,2.0,1.0,38.12,3.0,1320.0,2887.8787878787875,440.0
Built-up  Area,18-Dec,Electronic City,2 BHK,1090,2.0,1.0,31.48,2.0,1090.0,2888.0733944954127,545.0
Built-up  Area,Ready To Move,Electronic City,3 BHK,1050,2.0,1.0,39.0,3.0,1050.0,3714.285714285714,350.0
Super built-up  Area,18-Aug,Electronic City,2 BHK,1128,2.0,1.0,65.58,2.0,1128.0,5813.829787234043,564.0
Built-up  Area,Ready To Move,Electronic City,1 BHK,635,1.0,1.0,28.0,1.0,635.0,4409.4488188976375,635.0
Super built-up  Area,18-Aug,Electronic City,2 BHK,1128,2.0,1.0,65.4,2.0,1128.0,5797.8723404255325,564.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1096,2.0,2.0,39.0,2.0,1096.0,3558.394160583942,548.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1150,2.0,1.0,38.0,2.0,1150.0,3304.3478260869565,575.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1355,2.0,1.0,72.9,2.0,1355.0,5380.073800738008,677.5
Super built-up  Area,18-Jul,Electronic City,2 BHK,1200,2.0,2.0,30.0,2.0,1200.0,2500.0,600.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,1150,2.0,2.0,35.0,2.0,1150.0,3043.478260869565,575.0
Built-up  Area,18-Dec,Electronic City,2 BHK,1165,2.0,1.0,33.64,2.0,1165.0,2887.5536480686696,582.5
Built-up  Area,Ready To Move,Electronic City,2 BHK,770,1.0,1.0,35.0,2.0,770.0,4545.454545454545,385.0
Built-up  Area,18-Dec,Electronic City,2 BHK,1020,2.0,1.0,29.45,2.0,1020.0,2887.2549019607845,510.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,865,2.0,1.0,40.0,2.0,865.0,4624.277456647399,432.5
Built-up  Area,Ready To Move,Electronic City,2 BHK,800,2.0,2.0,32.0,2.0,800.0,4000.0,400.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,970,2.0,2.0,34.0,2.0,970.0,3505.1546391752577,485.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1108,2.0,1.0,63.0,2.0,1108.0,5685.9205776173285,554.0
Super built-up  Area,18-Apr,Electronic City,1 BHK,630,1.0,1.0,40.5,1.0,630.0,6428.571428571428,630.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1100,2.0,1.0,41.0,2.0,1100.0,3727.2727272727275,550.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,975,2.0,1.0,32.0,2.0,975.0,3282.051282051282,487.5
Super built-up  Area,Ready To Move,Electronic City,1 BHK,605,1.0,1.0,22.0,1.0,605.0,3636.3636363636365,605.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,1142,2.0,0.0,35.0,2.0,1142.0,3064.7985989492117,571.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2.0,1.0,48.0,2.0,1070.0,4485.981308411215,535.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1160,2.0,2.0,42.0,3.0,1160.0,3620.689655172414,386.6666666666667
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1360,2.0,1.0,70.0,3.0,1360.0,5147.058823529412,453.3333333333333
Super built-up  Area,Ready To Move,Electronic City,1 BHK,635,1.0,0.0,28.0,1.0,635.0,4409.4488188976375,635.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128,2.0,1.0,65.45,2.0,1128.0,5802.304964539007,564.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,890,2.0,1.0,40.0,2.0,890.0,4494.38202247191,445.0
Built-up  Area,18-Dec,Electronic City,2 BHK,1065,2.0,1.0,30.75,2.0,1065.0,2887.323943661972,532.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1127,2.0,2.0,32.0,2.0,1127.0,2839.396628216504,563.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,825,2.0,1.0,35.0,2.0,825.0,4242.424242424242,412.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1200,2.0,2.0,40.5,2.0,1200.0,3375.0,600.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1360,2.0,1.0,58.0,3.0,1360.0,4264.705882352941,453.3333333333333
Built-up  Area,18-Dec,Electronic City,3 BHK,1400,2.0,1.0,40.45,3.0,1400.0,2889.2857142857147,466.6666666666667
Built-up  Area,18-Dec,Electronic City,2 BHK,1065,2.0,1.0,30.76,2.0,1065.0,2888.262910798122,532.5
Super built-up  Area,18-Aug,Electronic City,1 BHK,630,1.0,1.0,33.7,1.0,630.0,5349.20634920635,630.0
Built-up  Area,18-Dec,Electronic City,2 BHK,1025,2.0,1.0,29.61,2.0,1025.0,2888.7804878048782,512.5
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1160,2.0,2.0,42.0,3.0,1160.0,3620.689655172414,386.6666666666667
Super built-up  Area,Ready To Move,Electronic City,2 BHK,660,1.0,1.0,16.5,2.0,660.0,2500.0,330.0
Built-up  Area,Ready To Move,Electronic City,3 Bedroom,1400,3.0,1.0,90.0,3.0,1400.0,6428.571428571428,466.6666666666667
Built-up  Area,Ready To Move,Electronic City,3 BHK,1287,3.0,1.0,55.0,3.0,1287.0,4273.504273504273,429.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1258,2.0,1.0,85.5,2.0,1258.0,6796.502384737679,629.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,1386,2.0,1.0,85.0,2.0,1386.0,6132.7561327561325,693.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1025,2.0,1.0,50.0,2.0,1025.0,4878.048780487805,512.5
Super built-up  Area,18-Apr,Electronic City,2 BHK,1140,2.0,2.0,33.84,2.0,1140.0,2968.421052631579,570.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2.0,1.0,55.0,2.0,1070.0,5140.186915887851,535.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1342,2.0,1.0,72.0,2.0,1342.0,5365.126676602086,671.0
Built-up  Area,Ready To Move,Electronic City,3 BHK,1275,3.0,1.0,70.0,3.0,1275.0,5490.196078431372,425.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,770,1.0,1.0,38.0,2.0,770.0,4935.064935064935,385.0
Built-up  Area,18-Dec,Electronic City,2 BHK,1200,2.0,1.0,34.65,2.0,1200.0,2887.5,600.0
Super built-up  Area,18-May,Electronic City,2 BHK,1005,2.0,1.0,39.77,2.0,1005.0,3957.213930348259,502.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1110,2.0,1.0,39.9,2.0,1110.0,3594.5945945945946,555.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,660,1.0,1.0,23.0,2.0,660.0,3484.848484848485,330.0
Super built-up  Area,17-Jun,Electronic City,3 BHK,1644,3.0,2.0,92.59,3.0,1644.0,5631.995133819952,548.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,1250,2.0,1.0,62.0,2.0,1250.0,4960.0,625.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1020,2.0,1.0,30.27,2.0,1020.0,2967.6470588235293,510.0
Built-up  Area,18-Dec,Electronic City,2 BHK,1025,2.0,1.0,29.6,2.0,1025.0,2887.8048780487807,512.5
Super built-up  Area,Ready To Move,Electronic City,1 BHK,418,1.0,1.0,12.0,1.0,418.0,2870.813397129187,418.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128,2.0,1.0,64.8,2.0,1128.0,5744.68085106383,564.0
Built-up  Area,18-Dec,Electronic City,3 BHK,1220,2.0,1.0,35.25,3.0,1220.0,2889.344262295082,406.6666666666667
Built-up  Area,18-Dec,Electronic City,3 BHK,1220,2.0,1.0,35.23,3.0,1220.0,2887.7049180327863,406.6666666666667
Built-up  Area,Ready To Move,Electronic City,2 BHK,1060,2.0,1.0,55.0,2.0,1060.0,5188.679245283019,530.0
Super built-up  Area,21-Dec,Electronic City,1 BHK,710,1.0,1.0,40.42,1.0,710.0,5692.957746478874,710.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1000,2.0,1.0,29.95,2.0,1000.0,2995.0,500.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,870,2.0,2.0,24.0,2.0,870.0,2758.6206896551726,435.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1275,3.0,3.0,63.43,3.0,1275.0,4974.901960784314,425.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1518,3.0,3.0,75.0,3.0,1518.0,4940.711462450593,506.0
Built-up  Area,18-Dec,Electronic City,1 BHK,1090,2.0,1.0,31.48,1.0,1090.0,2888.0733944954127,1090.0
Built-up  Area,18-Dec,Electronic City,2 BHK,1140,2.0,1.0,32.92,2.0,1140.0,2887.719298245614,570.0
Built-up  Area,18-Dec,Electronic City,2 BHK,1125,2.0,1.0,32.49,2.0,1125.0,2888.0,562.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1060,2.0,1.0,55.0,2.0,1060.0,5188.679245283019,530.0
Built-up  Area,18-Dec,Electronic City,2 BHK,1200,2.0,1.0,34.66,2.0,1200.0,2888.333333333333,600.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1353,2.0,3.0,75.0,2.0,1353.0,5543.2372505543235,676.5
Built-up  Area,Ready To Move,Electronic City,2 BHK,660,1.0,0.0,18.0,2.0,660.0,2727.2727272727275,330.0
Super built-up  Area,18-Jul,Electronic City,2 BHK,1128,2.0,1.0,67.0,2.0,1128.0,5939.7163120567375,564.0
Built-up  Area,17-Jul,Electronic City,2 BHK,1070,2.0,1.0,57.0,2.0,1070.0,5327.102803738318,535.0
Built-up  Area,Ready To Move,Electronic City,3 BHK,1700,3.0,2.0,90.0,3.0,1700.0,5294.117647058823,566.6666666666666
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1521,2.0,2.0,57.5,3.0,1521.0,3780.4076265614726,507.0
Super built-up  Area,Ready To Move,Electronic City,1 BHK,750,1.0,1.0,35.0,1.0,750.0,4666.666666666667,750.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,1210,2.0,1.0,55.0,2.0,1210.0,4545.454545454545,605.0
Built-up  Area,17-Jun,Electronic City,2 BHK,1070,2.0,1.0,60.0,2.0,1070.0,5607.476635514019,535.0
Built-up  Area,18-Dec,Electronic City,3 BHK,1400,2.0,1.0,40.44,3.0,1400.0,2888.5714285714284,466.6666666666667
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1190,2.0,1.0,42.0,2.0,1190.0,3529.4117647058824,595.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,880,2.0,1.0,19.0,2.0,880.0,2159.090909090909,440.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1150,2.0,1.0,38.08,2.0,1150.0,3311.304347826087,575.0
Super built-up  Area,18-Jul,Electronic City,3 BHK,1615,3.0,2.0,97.0,3.0,1615.0,6006.1919504643965,538.3333333333334
Built-up  Area,18-Dec,Electronic City,2 BHK,1165,2.0,1.0,33.65,2.0,1165.0,2888.412017167382,582.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1221,2.0,2.0,68.0,2.0,1221.0,5569.205569205569,610.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,970,2.0,1.0,35.0,2.0,970.0,3608.2474226804125,485.0
Built-up  Area,Ready To Move,Electronic City,3 Bedroom,1500,3.0,1.0,73.0,3.0,1500.0,4866.666666666667,500.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,995,2.0,1.0,48.0,2.0,995.0,4824.120603015075,497.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1342,2.0,1.0,90.0,2.0,1342.0,6706.408345752608,671.0
Built-up  Area,18-Dec,Electronic City,3 BHK,1320,2.0,1.0,38.12,3.0,1320.0,2887.8787878787875,440.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128,2.0,1.0,63.5,2.0,1128.0,5629.432624113475,564.0
Super built-up  Area,Ready To Move,Electronic City,1 BHK,589,1.0,1.0,29.0,1.0,589.0,4923.599320882852,589.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1125,2.0,1.0,28.13,2.0,1125.0,2500.4444444444443,562.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,825,2.0,1.0,30.0,2.0,825.0,3636.3636363636365,412.5
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1575,3.0,1.0,94.5,3.0,1575.0,6000.0,525.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2.0,1.0,48.0,2.0,1070.0,4485.981308411215,535.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1025,2.0,1.0,54.0,2.0,1025.0,5268.292682926829,512.5
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1500,2.0,1.0,70.0,3.0,1500.0,4666.666666666667,500.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1500,2.0,1.0,64.5,3.0,1500.0,4300.0,500.0
Built-up  Area,18-Dec,Electronic City,2 BHK,1140,2.0,1.0,32.93,2.0,1140.0,2888.59649122807,570.0
Super built-up  Area,21-Dec,Electronic City,4 BHK,2093,4.0,2.0,134.0,4.0,2093.0,6402.293358815098,523.25
Built-up  Area,Ready To Move,Electronic City,2 BHK,750,2.0,1.0,19.5,2.0,750.0,2600.0,375.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1355,2.0,1.0,73.0,2.0,1355.0,5387.453874538745,677.5
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1360,2.0,1.0,64.99,3.0,1360.0,4778.676470588234,453.3333333333333
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1060,2.0,1.0,52.0,2.0,1060.0,4905.66037735849,530.0
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,1056,2.0,1.0,39.07,2.0,1056.0,3699.810606060606,528.0
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1020,2.0,1.0,30.6,2.0,1020.0,3000.0,510.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1069,2.0,2.0,45.0,2.0,1069.0,4209.541627689429,534.5
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,630,1.0,1.0,28.35,1.0,630.0,4500.0,630.0
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,1220,2.0,1.0,35.23,3.0,1220.0,2887.7049180327863,406.6666666666667
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1000,2.0,1.0,25.0,2.0,1000.0,2500.0,500.0
Built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1090,2.0,1.0,28.34,2.0,1090.0,2600.0,545.0
Super built-up  Area,18-Dec,Electronic City Phase II,4 BHK,2225,4.0,0.0,98.88,4.0,2225.0,4444.044943820225,556.25
Built-up  Area,18-Jul,Electronic City Phase II,3 BHK,1400,2.0,1.0,40.43,3.0,1400.0,2887.8571428571427,466.6666666666667
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,775,2.0,2.0,38.0,2.0,775.0,4903.225806451613,387.5
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1266,2.0,2.0,59.0,2.0,1266.0,4660.347551342812,633.0
Super built-up  Area,18-Aug,Electronic City Phase II,2 BHK,1000,2.0,1.0,28.88,2.0,1000.0,2888.0,500.0
Built-up  Area,18-Dec,Electronic City Phase II,3 BHK,1320,2.0,1.0,38.13,3.0,1320.0,2888.636363636364,440.0
Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,1220,3.0,1.0,35.23,3.0,1220.0,2887.7049180327863,406.6666666666667
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,972,2.0,1.0,44.0,2.0,972.0,4526.748971193416,486.0
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,1400,2.0,2.0,40.43,3.0,1400.0,2887.8571428571427,466.6666666666667
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1031,2.0,1.0,55.0,2.0,1031.0,5334.62657613967,515.5
Super built-up  Area,18-Apr,Electronic City Phase II,2 BHK,1003,2.0,1.0,40.6,2.0,1003.0,4047.8564307078764,501.5
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1031,2.0,1.0,56.35,2.0,1031.0,5465.56741028128,515.5
Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,1320,2.0,1.0,38.12,3.0,1320.0,2887.8787878787875,440.0
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,1395,2.0,1.0,62.78,3.0,1395.0,4500.358422939068,465.0
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,1160,2.0,1.0,33.5,2.0,1160.0,2887.9310344827586,580.0
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,1065,2.0,1.0,30.75,2.0,1065.0,2887.323943661972,532.5
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1219,2.0,1.0,61.25,2.0,1219.0,5024.610336341263,609.5
Super built-up  Area,18-Jul,Electronic City Phase II,3 BHK,1400,2.0,2.0,41.58,3.0,1400.0,2970.0,466.6666666666667
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,1000,2.0,1.0,28.88,2.0,1000.0,2888.0,500.0
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,1790,3.0,3.0,100.0,3.0,1790.0,5586.592178770949,596.6666666666666
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,769,2.0,1.0,40.0,2.0,769.0,5201.560468140442,384.5
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,1400,2.0,2.0,40.43,3.0,1400.0,2887.8571428571427,466.6666666666667
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,900,2.0,2.0,32.5,2.0,900.0,3611.1111111111113,450.0
Super built-up  Area,18-Apr,Electronic City Phase II,3 BHK,1329,2.0,2.0,41.0,3.0,1329.0,3085.0263355906695,443.0
Built-up  Area,18-Dec,Electronic City Phase II,3 BHK,1220,3.0,1.0,35.23,3.0,1220.0,2887.7049180327863,406.6666666666667
Carpet  Area,18-May,Electronic City Phase II,3 BHK,993,2.0,2.0,50.0,3.0,993.0,5035.246727089628,331.0
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,1418,3.0,2.0,52.47,3.0,1418.0,3700.2820874471086,472.6666666666667
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1070,2.0,2.0,45.0,2.0,1070.0,4205.607476635514,535.0
Super built-up  Area,18-Jul,Electronic City Phase II,3 BHK,1310,2.0,1.0,32.75,3.0,1310.0,2500.0,436.6666666666667
Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,1310,2.0,1.0,37.83,3.0,1310.0,2887.7862595419847,436.6666666666667
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,1140,2.0,1.0,33.06,2.0,1140.0,2900.0,570.0
Super built-up  Area,18-Oct,Electronic City Phase II,2 BHK,888 - 1290,2.0,0.0,32.67,2.0,1089.0,3000.0,544.5
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1031,2.0,1.0,55.0,2.0,1031.0,5334.62657613967,515.5
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1253,2.0,1.0,65.8,2.0,1253.0,5251.3966480446925,626.5
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,1400,2.0,2.0,40.44,3.0,1400.0,2888.5714285714284,466.6666666666667
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,1160,2.0,1.0,33.5,2.0,1160.0,2887.9310344827586,580.0
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,975,2.0,2.0,45.0,3.0,975.0,4615.384615384615,325.0
Plot  Area,18-Mar,Electronic City Phase II,4 Bedroom,6000,4.0,2.0,260.0,4.0,6000.0,4333.333333333333,1500.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1116,2.0,2.0,37.0,2.0,1116.0,3315.4121863799282,558.0
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,1125,2.0,1.0,29.25,2.0,1125.0,2600.0,562.5
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,1000,2.0,1.0,28.88,2.0,1000.0,2888.0,500.0
Super built-up  Area,18-Aug,Electronic City Phase II,2 BHK,1000,2.0,1.0,28.88,2.0,1000.0,2888.0,500.0
Built-up  Area,18-Dec,Electronic City Phase II,2 BHK,1000,2.0,1.0,28.88,2.0,1000.0,2888.0,500.0
Built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1165,2.0,1.0,30.29,2.0,1165.0,2600.0,582.5
Built-up  Area,Ready To Move,Electronic City Phase II,4 Bedroom,3500 - 3600,2.0,2.0,167.5,4.0,3550.0,4718.30985915493,887.5
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1031,2.0,1.0,53.0,2.0,1031.0,5140.640155189137,515.5
Super built-up  Area,19-Dec,Electronic City Phase II,3 BHK,1611,2.0,2.0,48.33,3.0,1611.0,3000.0,537.0
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,1065,2.0,1.0,30.88,2.0,1065.0,2899.5305164319248,532.5
Built-up  Area,18-Jul,Electronic City Phase II,3 BHK,1220,3.0,1.0,36.6,3.0,1220.0,3000.0,406.6666666666667
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,1549,3.0,2.0,80.0,3.0,1549.0,5164.622336991608,516.3333333333334
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1065,2.0,1.0,56.13,2.0,1065.0,5270.422535211268,532.5
Built-up  Area,18-Jul,Electronic City Phase II,3 BHK,1320,2.0,1.0,38.13,3.0,1320.0,2888.636363636364,440.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,920,2.0,2.0,26.0,2.0,920.0,2826.086956521739,460.0
Super built-up  Area,18-Apr,Electronic City Phase II,2 BHK,1140,2.0,1.0,33.84,2.0,1140.0,2968.421052631579,570.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1219,2.0,1.0,61.26,2.0,1219.0,5025.430680885972,609.5
Built-up  Area,16-Oct,Electronic City Phase II,3 BHK,1252,2.0,3.0,65.0,3.0,1252.0,5191.693290734825,417.3333333333333
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,1125,2.0,1.0,32.49,2.0,1125.0,2888.0,562.5
Super built-up  Area,18-Aug,Electronic City Phase II,3 BHK,1310,2.0,2.0,37.83,3.0,1310.0,2887.7862595419847,436.6666666666667
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1286,2.0,2.0,69.0,2.0,1286.0,5365.47433903577,643.0
Super built-up  Area,18-Apr,Electronic City Phase II,3 BHK,1220,2.0,1.0,36.21,3.0,1220.0,2968.032786885246,406.6666666666667
